phy_order,Cohort,Status,Proportions
CAIN,28-Oct,Dead,0.333333333
CAIN,18-Nov,Dead,0.1
CAIN,9-Dec,Dead,0.242424242
CAIN,30-Dec,Dead,0.15
CAIN,27-Jan,Dead,0.275
CAIN,24-Feb,Dead,0.5
CAIN,24-Mar,Dead,0.5
STDR,7-Oct,No.Flower,0.041666667
STDR,28-Oct,No.Flower,0.083333333
STDR,18-Nov,No.Flower,0
STDR,9-Dec,No.Flower,0
STDR,30-Dec,No.Flower,0.05
STDR,27-Jan,No.Flower,0
STDR,24-Mar,No.Flower,0
STBR,7-Oct,No.Flower,0.083333333
STBR,28-Oct,No.Flower,0.208333333
STBR,18-Nov,No.Flower,0.083333333
STBR,9-Dec,No.Flower,0.125
STBR,30-Dec,No.Flower,0.083333333
STBR,27-Jan,No.Flower,0.333333333
STBR,24-Feb,No.Flower,0.75
STBR,24-Mar,No.Flower,1
STTO,7-Oct,No.Flower,0.357142857
STTO,28-Oct,No.Flower,0.733333333
STTO,18-Nov,No.Flower,0.625
STTO,9-Dec,No.Flower,0.529411765
STTO,30-Dec,No.Flower,1
STTO,27-Jan,No.Flower,1
STTO,24-Feb,No.Flower,1
STTO,24-Mar,No.Flower,0.714285714
STDI,7-Oct,No.Flower,0.041666667
STDI,28-Oct,No.Flower,0.176470588
STDI,18-Nov,No.Flower,0.083333333
STDI,9-Dec,No.Flower,0.047619048
STDI,30-Dec,No.Flower,0
STDI,27-Jan,No.Flower,0.125
STDI,24-Feb,No.Flower,0
STDI,24-Mar,No.Flower,0.5
STPO,7-Oct,No.Flower,0.291666667
STPO,28-Oct,No.Flower,0.166666667
STPO,18-Nov,No.Flower,0.166666667
STPO,9-Dec,No.Flower,0.666666667
STPO,30-Dec,No.Flower,0.428571429
STPO,27-Jan,No.Flower,0.5
STPO,24-Feb,No.Flower,0.636363636
STPO,24-Mar,No.Flower,0.7
STIN,7-Oct,No.Flower,0
STIN,28-Oct,No.Flower,0
STIN,18-Nov,No.Flower,0.041666667
STIN,9-Dec,No.Flower,0
STIN,30-Dec,No.Flower,0
STIN,27-Jan,No.Flower,0.041666667
STIN,24-Feb,No.Flower,0.047619048
STIN,24-Mar,No.Flower,0.208333333
STGL,7-Oct,No.Flower,0.291666667
STGL,28-Oct,No.Flower,0.105263158
STGL,18-Nov,No.Flower,0.1875
STGL,9-Dec,No.Flower,0
STGL,30-Dec,No.Flower,0
STGL,27-Jan,No.Flower,0.25
CAAN,7-Oct,No.Flower,0.020833333
CAAN,28-Oct,No.Flower,0.071428571
CAAN,18-Nov,No.Flower,0.08
CAAN,9-Dec,No.Flower,0.026315789
CAAN,30-Dec,No.Flower,0.0625
CAAN,27-Jan,No.Flower,0.173913043
CAAN,24-Feb,No.Flower,0.933333333
CAAN,24-Mar,No.Flower,0.4
CACO,7-Oct,No.Flower,0.041666667
