sp,Pop,days.2.bud,days.2.flower,sept.1.bud,sept.1.flower,pflwr,sizeflw,seed_num_nb,year1fit,seed_mass,seed_num_nb.CAAN1.CAIN3,seed_num_nb.CAAN1.CAIN4,seed_num_nb.CAAN2.CAIN3,seed_num_nb.CAAN2.CAIN4,days.2.bud.CAAN1.CAIN3,days.2.bud.CAAN1.CAIN4,days.2.bud.CAAN2.CAIN3,days.2.bud.CAAN2.CAIN4,days.2.flower.CAAN1.CAIN3,days.2.flower.CAAN1.CAIN4,days.2.flower.CAAN2.CAIN3,days.2.flower.CAAN2.CAIN4,year1fit.CAAN1.CAIN3,year1fit.CAAN1.CAIN4,year1fit.CAAN2.CAIN3,year1fit.CAAN2.CAIN4,pflwr.weighted,pflwr.CAAN1.CAIN3,pflwr.CAAN1.CAIN4,pflwr.CAAN2.CAIN3,pflwr.CAAN2.CAIN4,days.2.bud.final,days.2.bud.final.se,sept.1.bud.final,sept.1.bud.final.se,pflwr.final,pflwr.final.se,sizebud.final,sizebud.final.se,seed_num_nb.final,seed_num_nb.final.se,year1fit.final,year1fit.final.se,seed_mass.final,seed_mass.final.se
Caulanthus_inflatus,CAIN,-0.42594017,-0.540726911,0.57405983,0.459273089,-0.007414257,0.00618308,-0.017854103,-0.018424223,-9.08E-06,-0.028901396,-0.007388278,-0.028943608,-0.007445192,-0.430465428,-0.415456989,-0.434461875,-0.423478525,-0.552759165,-0.510680406,-0.558687848,-0.525019608,-0.02808308,-0.011114481,-0.027905394,-0.0112069,-0.009021155,-0.009231319,-0.008872222,-0.009213906,-0.008864418,-0.424550991,0.033664678,0.575449009,0.033664678,-0.008855338,0.003048251,8.13E-05,0.009495819,-0.017187018,0.004964544,-0.017901481,0.004411043,-9.48E-06,5.98E-06
Caulanthus_coulteri,CACO1,-0.49039925,-0.567666825,0.50960075,0.432333175,-0.005099964,0.00189629,-0.011197204,-0.013278726,-1.40E-05,-0.010880897,-0.010756681,-0.010910894,-0.010773426,-0.490286643,-0.490359514,-0.490723509,-0.490782573,-0.567294809,-0.567189443,-0.568201014,-0.568030683,-0.012788323,-0.012642961,-0.013122779,-0.012964072,-0.003958225,-0.003925047,-0.003847616,-0.003935686,-0.003859987,-0.490411839,0.038373824,0.509588161,0.038373824,-0.003957389,0.005157342,0.004079675,0.01160355,-0.011152705,0.004970227,-0.013191195,0.005271324,-1.40E-05,6.50E-06
Caulanthus_anceps,CAAN,-0.492167267,-0.60095759,0.507832733,0.39904241,-0.024539793,0.011177182,-0.008863428,-0.015234471,-1.21E-05,-0.008304668,-0.008451027,-0.011224973,-0.01138983,-0.523783852,-0.526610063,-0.433901077,-0.437245966,-0.606296083,-0.607899464,-0.586005153,-0.588424267,-0.01430191,-0.014372467,-0.017729068,-0.017973965,-0.02539505,-0.031700485,-0.031823758,-0.01918346,-0.019061336,-0.493695223,0.031247387,0.506304777,0.031247387,-0.024776263,0.005107343,0.0035412,0.011932363,-0.0089904,0.003038751,-0.015140298,0.003212227,-1.21E-05,5.02E-06
Streptanthus_glandulosus,STGL1,-0.561671274,-0.609139213,0.438328726,0.390860787,0.011012695,-0.019680242,-0.006475986,-0.003791722,-1.51E-05,-0.006232778,-0.006217926,-0.006287952,-0.006273184,-0.5708666,-0.560898745,-0.561513067,-0.550769258,-0.61885182,-0.613454746,-0.606424271,-0.599779799,-0.003737638,-0.003569489,-0.003805371,-0.003625167,0.0155273,0.015527945,0.01538839,0.015514897,0.015380102,-0.561940464,0.055978876,0.438059536,0.055978876,0.015525388,0.009336754,0.000794204,0.010814587,-0.006424749,0.005722445,-0.003712771,0.006544506,-1.51E-05,9.48E-06
Streptanthus_insignis,STIN,-0.299893324,-0.360485386,0.700106676,0.639514614,-0.006613592,-0.029188971,-0.021665563,-0.024024898,-3.99E-05,-0.021500264,-0.021490262,-0.021602433,-0.021590356,-0.300283034,-0.299966734,-0.299682163,-0.299341068,-0.361420695,-0.361167379,-0.360041169,-0.359703143,-0.023790837,-0.023815741,-0.024067015,-0.024093668,-0.006465468,-0.006469956,-0.006479599,-0.006467469,-0.006478648,-0.299900914,0.021879572,0.700099086,0.021879572,-0.00646551,0.00466229,-0.018613762,0.006867809,-0.021659876,0.002203315,-0.024003885,0.002720933,-3.99E-05,3.32E-06
Streptanthus_polygaloides,STPO,-0.499992568,-0.605948513,0.500007432,0.394051487,-0.02367156,-0.035885944,0.009759298,-0.009829682,-1.50E-07,0.009874329,0.009863293,0.009842685,0.009832346,-0.499609246,-0.499053347,-0.497628298,-0.497058244,-0.60733948,-0.606463659,-0.604915821,-0.603979915,-0.009768083,-0.009760293,-0.009824091,-0.009818224,-0.0236597,-0.023687565,-0.023795196,-0.023682981,-0.023795659,-0.499964228,0.051146791,0.500035772,0.051146791,-0.023660713,0.004496116,-0.031602335,0.009236745,0.009767324,0.010243915,-0.009825047,0.007725108,-1.40E-07,8.84E-06
Streptanthus_diversifolius,STDI,-0.604063703,-0.644395878,0.395936297,0.355604122,-0.000185615,-0.135142784,-0.026362206,-0.025450711,-2.17E-05,-0.026582615,-0.026793381,-0.026811765,-0.027041772,-0.596308437,-0.603914346,-0.60413072,-0.612329024,-0.635864517,-0.6401615,-0.64666926,-0.652064215,-0.02558827,-0.02608887,-0.02588874,-0.026420558,-0.002027467,-0.002027385,-0.00198488,-0.002025593,-0.001983644,-0.603852896,0.041737272,0.396147104,0.041737272,-0.002026997,0.005382457,-0.097026215,0.00780981,-0.026462162,0.004860852,-0.025551068,0.005492319,-2.18E-05,6.54E-06
Streptanthus_tortuosus,STTO_TM2,-0.943792096,-0.968760765,0.056207904,0.031239235,-0.025932684,0.090175268,0.010524709,-0.02047685,5.49E-06,0.011033228,0.010850166,0.010598507,0.010401392,-0.940206707,-0.941808611,-0.938860892,-0.94064673,-0.964534005,-0.963602565,-0.970212621,-0.969751556,-0.020465782,-0.020747813,-0.020907683,-0.021215082,-0.026250824,-0.026323297,-0.026323574,-0.026292569,-0.026297888,-0.943657456,0.106760863,0.056342544,0.106760863,-0.026250496,0.008579732,0.039784058,0.020501213,0.010505259,0.012131609,-0.020512224,0.006440978,5.48E-06,2.01E-05
Streptanthus_breweri,STBR3,-0.622549428,-0.687502338,0.377450572,0.312497662,-0.016726817,-0.035036229,-0.011531636,-0.023505413,-1.39E-05,-0.011623123,-0.011655524,-0.011701958,-0.011736585,-0.622952602,-0.622533174,-0.621493605,-0.621090621,-0.687258696,-0.686680136,-0.687701025,-0.687184422,-0.023407412,-0.023446099,-0.023644831,-0.023688338,-0.016151243,-0.016208185,-0.01623972,-0.016184055,-0.016219049,-0.622521507,0.044284091,0.377478493,0.044284091,-0.016151286,0.003632822,-0.022240287,0.008122008,-0.011560806,0.004929799,-0.023513332,0.00361743,-1.39E-05,8.08E-06
Streptanthus_drepanoides,STDR2,-0.694580969,-0.745492152,0.305419031,0.254507848,0.055827565,-0.011500287,-0.003997193,0.001271474,-8.21E-06,-0.00345334,-0.003250484,-0.003508539,-0.003284694,-0.698703443,-0.695023984,-0.692876523,-0.688841784,-0.751200932,-0.748673031,-0.743516772,-0.740312879,0.00191009,0.00205376,0.001571742,0.001726846,0.058706223,0.058754913,0.058984137,0.05874813,0.058993974,-0.694714634,0.046204739,0.305285366,0.046204739,0.058708517,0.014615281,-0.007205394,0.00838004,-0.003941956,0.004058406,0.001375109,0.004559067,-8.15E-06,6.86E-06
