folder,specimen,day,month,year,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,maximumElevationInMeters
c_inflatus,1519344,4,4,1935,34.917684,-117.515973,5000,770,1002
c_inflatus,23362272,4,4,1935,34.920696,-117.469337,5000,723,967
c_hallii,743933,6,5,1922,34.042896,-116.255187,1000,1102,1288
c_hallii,1164539,14,4,1987,34.032453,-116.350315,1000,1400,1681
c_inflatus,14298191,17,4,1978,35.026132,-117.550887,200,762,765
c_inflatus,1893628,3,4,1966,35.015345,-117.972547,500,780,820
c_amplexicaulis,1474187,22,7,1994,34.244637,-117.611552,500,1810,2150
c_amplexicaulis,3718719,22,7,1994,34.244637,-117.611552,500,1810,2150
c_amplexicaulis,1297031,17,4,1977,34.23988889,-117.5268889,100,1642,1725
c_amplexicaulis,UC10382,2,6,1900,34.300656,-117.585211,7060,1524,1829
c_cooperi,1636171,26,4,2010,35.702345,-115.701038,500,1067,1150
c_amplexicaulis,1600162,19,8,1996,34.294758,-117.632308,500,2202,2735
c_inflatus,466501,5,4,1939,35.31472,-117.60833,2000,932,1050
c_inflatus,2059192,31,3,1940,NA,NA,NA,NA,NA
c_inflatus,C40443,28,3,1941,34.809057,-117.49092,500,826,836
c_inflatus,C205640,22,3,1986,34.96666667,-117.45,100,740,744
c_cooperi,23362030,28,3,1941,34.809057,-117.49092,500,826,836
c_inflatus,23362265,28,3,1941,34.809057,-117.49092,500,826,836
c_inflatus,1294320,7,4,1957,34.9082,-117.5156,500,930,955
c_inflatus,608774,13,3,2005,34.959,-117.532,100,792,NA
c_cooperi,466822,5,4,2003,34.149015,-116.456045,200,1246,1297
c_inflatus,C40445,12,5,1922,35.210301,-117.029142,1000,928,950
c_inflatus,C40447,2,5,1935,35.241812,-117.60947,500,888,900
c_inflatus,C40452,17,4,1958,35.05927,-117.56047,200,730,800
c_inflatus,2151143,11,4,2008,35.178611,-117.186667,100,989,1002
c_inflatus,3660991,11,4,2008,35.15461111,-117.1863056,100,1025,NA
c_cooperi,935975,25,4,2013,35.149405,-115.457745,500,1350,1456
c_cooperi,1132147,10,4,2015,35.131452,-115.690734,200,1022,1040
c_inflatus,303074,23,4,1939,34.8987,-117.023,5000,622,915
c_inflatus,303076,23,4,1939,34.8987,-117.023,5000,622,915
c_cooperi,1474191,30,4,1995,34.110318,-116.536905,200,970,1070
c_amplexicaulis,C38167,12,7,1902,34.268964,-117.624195,2000,2134,NA
c_cooperi,1458872,2,5,1991,35.4832986,-115.5124741,500,1391,1498
c_cooperi,1474193,31,5,1995,34.342773,-116.842332,500,1411,1734
c_amplexicaulis,23089784,12,7,1902,34.272383,-117.631052,1000,1728,2633
c_amplexicaulis,1562906,23,6,1931,34.267479,-117.651813,3000,1700,3000
c_cooperi,1458870,12,4,1986,34.331118,-116.830142,500,1595,1856
c_amplexicaulis,1442841,21,6,1947,34.240443,-116.928707,5000,2000,2100
c_heterophyllus,1600879,22,4,1995,34.196637,-117.546299,500,991,1360
c_amplexicaulis,1442840,27,5,1970,34.236892,-117.269571,1000,1383,1608
c_inflatus,466429,NA,6,1932,34.6948,-118.1363,5000,699,760
c_amplexicaulis,1537967,16,6,2003,34.2247,-117.046727,500,2034,2125
c_cooperi,3507458,12,4,1986,34.331118,-116.830142,500,1595,1856
c_cooperi,1701252,20,5,2011,34.336451,-116.833564,200,1554,1695
c_cooperi,996945,11,3,2013,34.515946,-115.052107,500,638,676
c_inflatus,1442871,25,3,1964,35.061165,-117.560562,200,799,810
c_inflatus,303079,11,4,1958,35.716989,-117.868933,200,752,772
c_amplexicaulis,1563888,15,6,1917,34.224283,-117.629089,2000,2000,2450
c_inflatus,1893620,13,5,1952,34.989087,-117.495712,500,732,760
c_inflatus,C40454,10,4,1968,35.046729,-117.556504,500,781,791
c_cooperi,1217758,21,5,2010,34.174245,-116.470882,500,1145,1270
c_hallii,1179568,18,4,2016,34.21934,-116.562155,1000,1380,1562
c_cooperi,1635985,18,4,2010,35.12248,-115.01585,100,1057,NA
c_amplexicaulis,1458860,23,6,1987,34.222204,-117.082425,500,1923,2100
c_cooperi,1660186,2,5,2011,34.916513,-115.552128,200,1260,1364
c_cooperi,1635931,30,4,2010,34.982718,-115.506629,100,1268,1380
c_cooperi,466831,11,3,2013,34.48253,-114.9672,100,414,NA
c_inflatus,23362260,7,4,1967,35.077837,-117.56254,2000,798,916
c_inflatus,23362244,25,3,1938,34.847968,-117.580518,2000,870,975
c_amplexicaulis,1483280,19,6,1999,34.071015,-117.001324,500,1065,1345
c_cooperi,966055,20,3,2013,34.843607,-114.830313,1000,560,740
c_cooperi,2825510,12,4,1974,35.656172,-117.531951,200,597,608
c_amplexicaulis,UC592154,14,6,1927,34.266515,-117.626066,1000,1889,NA
c_amplexicaulis,C38159,2,6,1900,34.294332,-117.563569,5000,1524,NA
c_amplexicaulis,C38156,15,6,1917,34.208822,-117.647771,1000,1829,NA
c_amplexicaulis,C38157,3,7,1917,34.273462,-117.632159,1000,2134,NA
c_amplexicaulis,C38154,8,7,1926,34.289206,-117.646436,500,3000,NA
c_amplexicaulis,C38155,28,6,1931,34.289206,-117.646436,500,3000,NA
c_inflatus,16974987,20,4,1962,NA,NA,NA,NA,NA
c_inflatus,1321489,7,3,2005,34.977222,-117.537222,100,762,NA
s_cordatus,1368846,13,5,1977,35.244352,-115.299694,200,1719,1781
c_inflatus,1401895,1,4,2010,34.973056,-117.536944,100,776,NA
c_inflatus,1367417,24,4,1957,34.9923,-117.5416,1600,746,772
c_coulteri,C434964,28,4,2006,34.77083333,-118.6808333,200,960,1006
c_heterophyllus,1406594,26,5,1999,34.12277778,-117.0766667,100,759,900
s_cordatus,21124147,16,5,2017,34.31539033,-116.8104129,100,1840,NA
c_amplexicaulis,C38165,17,6,1953,34.230215,-117.227551,500,1737,NA
c_amplexicaulis,C38158,30,5,1898,34.076696,-116.868462,1000,2134,NA
c_amplexicaulis,C38171,21,6,1947,34.243954,-116.916784,3000,1890,NA
c_amplexicaulis,3873667,14,6,2017,34.379316,-117.546087,500,1290,1526
c_amplexicaulis,3526593,16,8,1953,34.14235,-116.976101,1000,1615,2371
