"","Species","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN",0.00161186357496024,0.0165090708739508,597,-0.030811053024253,0.0340347801741735
"2","CACO",0.00360312799736684,0.0117700377115374,597,-0.019512585418881,0.0267188414136147
"3","CAIN",-0.00861346288278887,0.0136578507054859,597,-0.0354367382645184,0.0182098124989407
"4","STBR",-0.0222498422007615,0.00823562657019428,597,-0.0384241645152294,-0.0060755198862937
"5","STDI",-0.0966545723549785,0.00792641690880899,597,-0.112221623724927,-0.0810875209850303
"6","STDR",-0.00756599218819065,0.00850098223296386,597,-0.0242614585808926,0.00912947420451132
"7","STGL",0.000120577640017665,0.0109830702256008,597,-0.0214495744688961,0.0216907297489314
"8","STIN",-0.0186493586410207,0.00696451942298264,597,-0.0323272957053812,-0.00497142157666019
"9","STPO",-0.0317055688080561,0.00936619150204443,597,-0.0501002591114463,-0.0133108785046658
"10","STTO",0.0394748649247289,0.0207918422276901,597,-0.00135918149977876,0.0803089113492365
