"","phy_order","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO",0.0611391077643373,0.100302952015172,825,-0.135739901294296,0.25801811682297
"2","STDI",0.395869279907865,0.0393300845133905,825,0.318670474592371,0.473068085223359
"3","STPO",0.502371701612565,0.0480482517443925,825,0.408060497401897,0.596682905823233
"4","STDR",0.307123477210047,0.0434303462230481,825,0.221876499372608,0.392370455047485
"5","STBR",0.378506394659274,0.0415985527483362,825,0.296854940950047,0.460157848368502
"6","STIN",0.700317837431925,0.0205493693398653,825,0.659982639004259,0.74065303585959
"7","STGL",0.438486932778658,0.0527170655806898,825,0.335011577133739,0.541962288423577
"8","CAAN",0.566098923230303,0.0483496163757303,825,0.471196187376836,0.66100165908377
"9","CACO",0.509276490575409,0.0360408333521656,825,0.43853397090412,0.580019010246698
"10","CAIN",0.565538125153895,0.0427858006474285,825,0.481556289484973,0.649519960822817
