"","Species","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN",-1.5719044631478e-05,9.30939760601206e-06,672,-3.39980506357242e-05,2.55996137276822e-06
"2","CACO",-1.36840758346884e-05,6.886130136118e-06,672,-2.72049951713846e-05,-1.63156497992215e-07
"3","CAIN",-3.31199404645229e-06,9.77503536967993e-06,672,-2.25052799899711e-05,1.58812918970665e-05
"4","STBR",-1.38933710303068e-05,8.5515393941285e-06,672,-3.06843221257756e-05,2.897580065162e-06
"5","STDI",-2.24093911986365e-05,6.94804249768376e-06,672,-3.60518754825713e-05,-8.7669069147018e-06
"6","STDR",-7.79400913485511e-06,7.27932185124149e-06,672,-2.20869605648976e-05,6.49894229518735e-06
"7","STGL",-1.40678573604139e-05,1.00691931713953e-05,672,-3.38387222678259e-05,5.70300754699824e-06
"8","STIN",-3.98256819551407e-05,3.51549778028397e-06,672,-4.67283632835465e-05,-3.29230006267349e-05
"9","STPO",-1.63917547340175e-07,9.36272851693611e-06,672,-1.85476388169826e-05,1.82198037223023e-05
"10","STTO",5.53012820842361e-06,2.12716275104601e-05,672,-3.62367211022863e-05,4.72969775191335e-05
