"","phy_order","seed.source","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO","Field",-0.940646730017842,0.0994122706043467,806,-1.13578422904195,-0.745509230993737
"3","STPO","Field",-0.497058244124691,0.0476180867110173,806,-0.590528338838478,-0.403588149410904
"7","STGL","Field",-0.550769258328261,0.0523325592418539,806,-0.653493445854661,-0.44804507080186
"8","CAAN","Field",-0.437245965718689,0.0479263873642067,806,-0.531321227360513,-0.343170704076865
"10","CAIN","Field",-0.423478525354479,0.0469681197688664,806,-0.515672792418735,-0.331284258290223
"12","STDI","SH",-0.61232902376653,0.0390500531731101,806,-0.688980826070559,-0.5356772214625
"14","STDR","SH",-0.688841784368666,0.0430643751470108,806,-0.773373345836251,-0.604310222901081
"15","STBR","SH",-0.621090621246449,0.0412259207937269,806,-0.702013459340261,-0.540167783152638
"16","STIN","SH",-0.299341067582758,0.0203648551899933,806,-0.339315478041396,-0.25936665712412
"19","CACO","SH",-0.490782572836802,0.0357170927544269,806,-0.560892068476932,-0.420673077196673
