"","Species","seed.source","transplant.daySept1.trend","SE","df","asymp.LCL","asymp.UCL"
"3","CAIN","Field",-0.00887222228685771,0.00449466789196283,Inf,-0.0176816094775734,-6.28350961420013e-05
"5","STDI","Field",-0.00198487983802987,0.00539183204381245,Inf,-0.0125526764545913,0.00858291677853152
"7","STGL","Field",0.0153883896699517,0.00935727597040124,Inf,-0.00295153422543683,0.0337283135653402
"8","STIN","Field",-0.00647959850038308,0.00466926091122827,Inf,-0.0156311817208112,0.002671984720045
"9","STPO","Field",-0.0237951962073368,0.00450961116929125,Inf,-0.0326338716834272,-0.0149565207312464
"10","STTO","Field",-0.0263235735286964,0.00859930727996914,Inf,-0.043177906089429,-0.00946924096796379
"11","CAAN","SH",-0.0318237583977076,0.00780935874150151,Inf,-0.0471298202734036,-0.0165176965220116
"12","CACO","SH",-0.00384761612159292,0.00516425384193312,Inf,-0.0139693676588044,0.0062741354156186
"14","STBR","SH",-0.0162397199588549,0.00364326543268206,Inf,-0.0233803889930315,-0.00909905092467833
"16","STDR","SH",0.0589841373627984,0.0146608477262455,Inf,0.0302494038365313,0.0877188708890654
