"","Species","seed.source","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"3","CAIN","Field",-1.40090401122208e-05,8.0931176624003e-06,726,-2.98977476462865e-05,1.87966742184488e-06
"5","STDI","Field",-2.22000734493245e-05,6.73752814435603e-06,726,-3.54274375695268e-05,-8.97270932912225e-06
"7","STGL","Field",-1.42573385664712e-05,9.76710422977212e-06,726,-3.34324783624196e-05,4.91780122947722e-06
"8","STIN","Field",-3.9827572507492e-05,3.41547334384214e-06,726,-4.65329559350462e-05,-3.31221890799378e-05
"9","STPO","Field",1.67391675381019e-08,9.09595535098146e-06,726,-1.7840776359031e-05,1.78742546941072e-05
"10","STTO","Field",6.04012965752329e-06,2.06638590250243e-05,726,-3.45279216509511e-05,4.66081809659977e-05
"11","CAAN","SH",-1.06941850718403e-05,6.30316688694157e-06,726,-2.30687951272833e-05,1.6804249836027e-06
"12","CACO","SH",-1.38336215605841e-05,6.68732361479357e-06,726,-2.69624222939214e-05,-7.04820827246871e-07
"14","STBR","SH",-1.38235985075766e-05,8.3083720836016e-06,726,-3.01349014722971e-05,2.48770445714389e-06
"16","STDR","SH",-7.84257611016237e-06,7.06597858753897e-06,726,-2.17147662725478e-05,6.02961405222307e-06
