"","Species","transplant.daySept1.trend","SE","df","asymp.LCL","asymp.UCL"
"1","CAAN",-0.0143019103483651,0.0040814592714913,Inf,-0.0223014235248551,-0.00630239717187508
"2","CACO",-0.0127883227086346,0.00521540326646949,Inf,-0.0230103252757674,-0.0025663201415019
"3","CAIN",-0.0280830795805353,0.00751966877593668,Inf,-0.0428213595570416,-0.013344799604029
"4","STBR",-0.0234074124070381,0.00356920300043437,Inf,-0.0304029217414017,-0.0164119030726744
"5","STDI",-0.025588270228249,0.00541544167409267,Inf,-0.0362023408698479,-0.0149741995866501
"6","STDR",0.00191009049600206,0.00449121734231794,Inf,-0.00689253374168279,0.0107127147336869
"7","STGL",-0.00373763795346771,0.006463431679258,Inf,-0.0164057312613486,0.00893045535441321
"8","STIN",-0.0237908369837293,0.00267739387629307,Inf,-0.0290384325536918,-0.0185432414137668
"9","STPO",-0.00976808263061828,0.00768681687100813,Inf,-0.0248339668535491,0.00529780159231253
"10","STTO",-0.0204657824985232,0.00634633075356817,Inf,-0.0329043622094958,-0.00802720278755069
