"","Species","seed.source","transplant.daySept1.trend","SE","df","asymp.LCL","asymp.UCL"
"3","CAIN","Field",-0.00738827822748863,0.00670739112513887,Inf,-0.0205345232629844,0.00575796680800714
"5","STDI","Field",-0.0267933814657326,0.004811465077089,Inf,-0.0362236797296992,-0.0173630832017659
"7","STGL","Field",-0.00621792605357886,0.00567856367144802,Inf,-0.0173477063335345,0.0049118542263768
"8","STIN","Field",-0.0214902624155405,0.00217761398816083,Inf,-0.0257583074045664,-0.0172222174265146
"9","STPO","Field",0.00986329275084151,0.0101842653126631,Inf,-0.0100975004709787,0.0298240859726617
"10","STTO","Field",0.0108501660201592,0.01197869937467,Inf,-0.0126276533358264,0.0343279853761449
"11","CAAN","SH",-0.00845102735853168,0.00368979366270689,Inf,-0.0156828900478213,-0.00121916466924204
"12","CACO","SH",-0.0107566813142453,0.0049294696386789,Inf,-0.0204182642689396,-0.001095098359551
"14","STBR","SH",-0.0116555244777112,0.00486446773102022,Inf,-0.0211897060344681,-0.00212134292095427
"16","STDR","SH",-0.00325048448785535,0.00401469931084248,Inf,-0.0111191505458644,0.00461818157015367
