"","Species","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN",0.00205019141198724,0.0191845843866627,587,-0.0356285920155571,0.0397289748395316
"2","CACO",0.00390804105726035,0.0117507747318634,587,-0.0191706395804891,0.0269867216950098
"3","CAIN",-0.00854687302898362,0.013635034005155,587,-0.0353262643857546,0.0182325183277874
"4","STBR",-0.0222457688131026,0.00822183387477406,587,-0.0383935618380183,-0.00609797578818684
"5","STDI",-0.0965418320821108,0.00791482994880033,587,-0.112086665240655,-0.0809969989235663
"6","STDR",-0.00761520187002753,0.0084875608233595,587,-0.0242848862189781,0.00905448247892302
"7","STGL",-0.000104196184852311,0.0109682392624702,587,-0.0216459665679216,0.0214375741982169
"8","STIN",-0.0186909697612879,0.00695301450961995,587,-0.0323467843776668,-0.00503515514490896
"9","STPO",-0.0316655961322873,0.00935057194252956,587,-0.0500302460014384,-0.0133009462631362
"10","STTO",0.0396940375750636,0.0207583213047354,587,-0.00107558646246633,0.0804636616125935
