"Date.Time","Unit","temp","bench","block","hour","minute","Date"
2021-11-01 09:12:00,"C",16,1,13,9,12,2021-11-01
2021-11-01 10:12:00,"C",18.5,1,13,10,12,2021-11-01
2021-11-01 11:12:00,"C",18,1,13,11,12,2021-11-01
2021-11-01 12:12:00,"C",19,1,13,12,12,2021-11-01
2021-11-01 13:12:00,"C",18.5,1,13,13,12,2021-11-01
2021-11-01 14:12:00,"C",19.5,1,13,14,12,2021-11-01
2021-11-01 15:12:00,"C",18.5,1,13,15,12,2021-11-01
2021-11-01 16:12:00,"C",18.5,1,13,16,12,2021-11-01
2021-11-01 17:12:00,"C",17.5,1,13,17,12,2021-11-01
2021-11-01 18:12:00,"C",16.5,1,13,18,12,2021-11-01
2021-11-01 19:12:00,"C",15.5,1,13,19,12,2021-11-01
2021-11-01 20:12:00,"C",15.5,1,13,20,12,2021-11-01
2021-11-01 21:12:00,"C",15,1,13,21,12,2021-11-01
2021-11-01 22:12:00,"C",14.5,1,13,22,12,2021-11-01
2021-11-01 23:12:00,"C",14,1,13,23,12,2021-11-01
2021-11-02 00:12:00,"C",14.5,1,13,0,12,2021-11-02
2021-11-02 01:12:00,"C",15,1,13,1,12,2021-11-02
2021-11-02 02:12:00,"C",15,1,13,2,12,2021-11-02
2021-11-02 03:12:00,"C",15,1,13,3,12,2021-11-02
2021-11-02 04:12:00,"C",15,1,13,4,12,2021-11-02
2021-11-02 05:12:00,"C",15,1,13,5,12,2021-11-02
2021-11-02 06:12:00,"C",14.5,1,13,6,12,2021-11-02
2021-11-02 07:12:00,"C",14.5,1,13,7,12,2021-11-02
2021-11-02 08:12:00,"C",14,1,13,8,12,2021-11-02
2021-11-02 09:12:00,"C",16.5,1,13,9,12,2021-11-02
2021-11-02 10:12:00,"C",24,1,13,10,12,2021-11-02
2021-11-02 11:12:00,"C",23.5,1,13,11,12,2021-11-02
2021-11-02 12:12:00,"C",25,1,13,12,12,2021-11-02
2021-11-02 13:12:00,"C",24,1,13,13,12,2021-11-02
2021-11-02 14:12:00,"C",26,1,13,14,12,2021-11-02
2021-11-02 15:12:00,"C",26.5,1,13,15,12,2021-11-02
2021-11-02 16:12:00,"C",26,1,13,16,12,2021-11-02
2021-11-02 17:12:00,"C",23,1,13,17,12,2021-11-02
2021-11-02 18:12:00,"C",18.5,1,13,18,12,2021-11-02
2021-11-02 19:12:00,"C",16,1,13,19,12,2021-11-02
2021-11-02 20:12:00,"C",14.5,1,13,20,12,2021-11-02
2021-11-02 21:12:00,"C",13.5,1,13,21,12,2021-11-02
2021-11-02 22:12:00,"C",13,1,13,22,12,2021-11-02
2021-11-02 23:12:00,"C",12.5,1,13,23,12,2021-11-02
2021-11-03 00:12:00,"C",12.5,1,13,0,12,2021-11-03
2021-11-03 01:12:00,"C",12,1,13,1,12,2021-11-03
2021-11-03 02:12:00,"C",11.5,1,13,2,12,2021-11-03
2021-11-03 03:12:00,"C",11.5,1,13,3,12,2021-11-03
2021-11-03 04:12:00,"C",11,1,13,4,12,2021-11-03
2021-11-03 05:12:00,"C",11,1,13,5,12,2021-11-03
2021-11-03 06:12:00,"C",10.5,1,13,6,12,2021-11-03
2021-11-03 07:12:00,"C",10,1,13,7,12,2021-11-03
2021-11-03 08:12:00,"C",10,1,13,8,12,2021-11-03
2021-11-03 09:12:00,"C",12.5,1,13,9,12,2021-11-03
2021-11-03 10:12:00,"C",24.5,1,13,10,12,2021-11-03
2021-11-03 11:12:00,"C",24.5,1,13,11,12,2021-11-03
2021-11-03 12:12:00,"C",27,1,13,12,12,2021-11-03
2021-11-03 13:12:00,"C",27.5,1,13,13,12,2021-11-03
2021-11-03 14:12:00,"C",28,1,13,14,12,2021-11-03
2021-11-03 15:12:00,"C",28,1,13,15,12,2021-11-03
2021-11-03 16:12:00,"C",27,1,13,16,12,2021-11-03
2021-11-03 17:12:00,"C",24.5,1,13,17,12,2021-11-03
2021-11-03 18:12:00,"C",19.5,1,13,18,12,2021-11-03
2021-11-03 19:12:00,"C",17,1,13,19,12,2021-11-03
2021-11-03 20:12:00,"C",16,1,13,20,12,2021-11-03
2021-11-03 21:12:00,"C",15.5,1,13,21,12,2021-11-03
2021-11-03 22:12:00,"C",15,1,13,22,12,2021-11-03
2021-11-03 23:12:00,"C",14.5,1,13,23,12,2021-11-03
2021-11-04 00:12:00,"C",14.5,1,13,0,12,2021-11-04
2021-11-04 01:12:00,"C",15,1,13,1,12,2021-11-04
2021-11-04 02:12:00,"C",16,1,13,2,12,2021-11-04
2021-11-04 03:12:00,"C",16,1,13,3,12,2021-11-04
2021-11-04 04:12:00,"C",15.5,1,13,4,12,2021-11-04
2021-11-04 05:12:00,"C",15.5,1,13,5,12,2021-11-04
2021-11-04 06:12:00,"C",15,1,13,6,12,2021-11-04
2021-11-04 07:12:00,"C",14.5,1,13,7,12,2021-11-04
2021-11-04 08:12:00,"C",14.5,1,13,8,12,2021-11-04
2021-11-04 09:12:00,"C",16.5,1,13,9,12,2021-11-04
2021-11-04 10:12:00,"C",21,1,13,10,12,2021-11-04
2021-11-04 11:12:00,"C",23.5,1,13,11,12,2021-11-04
2021-11-04 12:12:00,"C",26.5,1,13,12,12,2021-11-04
2021-11-04 13:12:00,"C",27,1,13,13,12,2021-11-04
2021-11-04 14:12:00,"C",27.5,1,13,14,12,2021-11-04
2021-11-04 15:12:00,"C",27,1,13,15,12,2021-11-04
2021-11-04 16:12:00,"C",25.5,1,13,16,12,2021-11-04
2021-11-04 17:12:00,"C",23.5,1,13,17,12,2021-11-04
2021-11-04 18:12:00,"C",18.5,1,13,18,12,2021-11-04
2021-11-04 19:12:00,"C",15,1,13,19,12,2021-11-04
2021-11-04 20:12:00,"C",13.5,1,13,20,12,2021-11-04
2021-11-04 21:12:00,"C",12.5,1,13,21,12,2021-11-04
2021-11-04 22:12:00,"C",11.5,1,13,22,12,2021-11-04
2021-11-04 23:12:00,"C",11,1,13,23,12,2021-11-04
2021-11-05 00:12:00,"C",10.5,1,13,0,12,2021-11-05
2021-11-05 01:12:00,"C",10,1,13,1,12,2021-11-05
2021-11-05 02:12:00,"C",9.5,1,13,2,12,2021-11-05
2021-11-05 03:12:00,"C",9,1,13,3,12,2021-11-05
2021-11-05 04:12:00,"C",8.5,1,13,4,12,2021-11-05
2021-11-05 05:12:00,"C",8,1,13,5,12,2021-11-05
2021-11-05 06:12:00,"C",8,1,13,6,12,2021-11-05
2021-11-05 07:12:00,"C",7.5,1,13,7,12,2021-11-05
2021-11-05 08:12:00,"C",9,1,13,8,12,2021-11-05
2021-11-05 09:12:00,"C",11,1,13,9,12,2021-11-05
2021-11-05 10:12:00,"C",13,1,13,10,12,2021-11-05
2021-11-05 11:12:00,"C",15.5,1,13,11,12,2021-11-05
2021-11-05 12:12:00,"C",20,1,13,12,12,2021-11-05
2021-11-05 13:12:00,"C",22.5,1,13,13,12,2021-11-05
2021-11-05 14:12:00,"C",23.5,1,13,14,12,2021-11-05
2021-11-05 15:12:00,"C",23,1,13,15,12,2021-11-05
2021-11-05 16:12:00,"C",22.5,1,13,16,12,2021-11-05
2021-11-05 17:12:00,"C",18.5,1,13,17,12,2021-11-05
2021-11-05 18:12:00,"C",16,1,13,18,12,2021-11-05
2021-11-05 19:12:00,"C",14.5,1,13,19,12,2021-11-05
2021-11-05 20:12:00,"C",13.5,1,13,20,12,2021-11-05
2021-11-05 21:12:00,"C",13,1,13,21,12,2021-11-05
2021-11-05 22:12:00,"C",13,1,13,22,12,2021-11-05
2021-11-05 23:12:00,"C",13,1,13,23,12,2021-11-05
2021-11-06 00:12:00,"C",12,1,13,0,12,2021-11-06
2021-11-06 01:12:00,"C",12,1,13,1,12,2021-11-06
2021-11-06 02:12:00,"C",12,1,13,2,12,2021-11-06
2021-11-06 03:12:00,"C",12,1,13,3,12,2021-11-06
2021-11-06 04:12:00,"C",11,1,13,4,12,2021-11-06
2021-11-06 05:12:00,"C",11,1,13,5,12,2021-11-06
2021-11-06 06:12:00,"C",11,1,13,6,12,2021-11-06
2021-11-06 07:12:00,"C",11,1,13,7,12,2021-11-06
2021-11-06 08:12:00,"C",11,1,13,8,12,2021-11-06
2021-11-06 09:12:00,"C",13,1,13,9,12,2021-11-06
2021-11-06 10:12:00,"C",14,1,13,10,12,2021-11-06
2021-11-06 11:12:00,"C",16.5,1,13,11,12,2021-11-06
2021-11-06 12:12:00,"C",18,1,13,12,12,2021-11-06
2021-11-06 13:12:00,"C",17.5,1,13,13,12,2021-11-06
2021-11-06 14:12:00,"C",19,1,13,14,12,2021-11-06
2021-11-06 15:12:00,"C",22.5,1,13,15,12,2021-11-06
2021-11-06 16:12:00,"C",22,1,13,16,12,2021-11-06
2021-11-06 17:12:00,"C",19,1,13,17,12,2021-11-06
2021-11-06 18:12:00,"C",15.5,1,13,18,12,2021-11-06
2021-11-06 19:12:00,"C",13.5,1,13,19,12,2021-11-06
2021-11-06 20:12:00,"C",12.5,1,13,20,12,2021-11-06
2021-11-06 21:12:00,"C",12.5,1,13,21,12,2021-11-06
2021-11-06 22:12:00,"C",12,1,13,22,12,2021-11-06
2021-11-06 23:12:00,"C",11,1,13,23,12,2021-11-06
2021-11-07 00:12:00,"C",11,1,13,0,12,2021-11-07
2021-11-07 01:12:00,"C",10,1,13,1,12,2021-11-07
2021-11-07 01:12:00,"C",9,1,13,1,12,2021-11-07
2021-11-07 02:12:00,"C",9,1,13,2,12,2021-11-07
2021-11-07 03:12:00,"C",8.5,1,13,3,12,2021-11-07
2021-11-07 04:12:00,"C",8,1,13,4,12,2021-11-07
2021-11-07 05:12:00,"C",7,1,13,5,12,2021-11-07
2021-11-07 06:12:00,"C",6,1,13,6,12,2021-11-07
2021-11-07 07:12:00,"C",6.5,1,13,7,12,2021-11-07
2021-11-07 08:12:00,"C",9.5,1,13,8,12,2021-11-07
2021-11-07 09:12:00,"C",17.5,1,13,9,12,2021-11-07
2021-11-07 10:12:00,"C",18,1,13,10,12,2021-11-07
2021-11-07 11:12:00,"C",19.5,1,13,11,12,2021-11-07
2021-11-07 12:12:00,"C",19.5,1,13,12,12,2021-11-07
2021-11-07 13:12:00,"C",21,1,13,13,12,2021-11-07
2021-11-07 14:12:00,"C",21.5,1,13,14,12,2021-11-07
2021-11-07 15:12:00,"C",20.5,1,13,15,12,2021-11-07
2021-11-07 16:12:00,"C",18,1,13,16,12,2021-11-07
2021-11-07 17:12:00,"C",13,1,13,17,12,2021-11-07
2021-11-07 18:12:00,"C",9.5,1,13,18,12,2021-11-07
2021-11-07 19:12:00,"C",8.5,1,13,19,12,2021-11-07
2021-11-07 20:12:00,"C",8,1,13,20,12,2021-11-07
2021-11-07 21:12:00,"C",7.5,1,13,21,12,2021-11-07
2021-11-07 22:12:00,"C",7.5,1,13,22,12,2021-11-07
2021-11-07 23:12:00,"C",6.5,1,13,23,12,2021-11-07
2021-11-08 00:12:00,"C",7,1,13,0,12,2021-11-08
2021-11-08 01:12:00,"C",7,1,13,1,12,2021-11-08
2021-11-08 02:12:00,"C",7.5,1,13,2,12,2021-11-08
2021-11-08 03:12:00,"C",7.5,1,13,3,12,2021-11-08
2021-11-08 04:12:00,"C",7.5,1,13,4,12,2021-11-08
2021-11-08 05:12:00,"C",6,1,13,5,12,2021-11-08
2021-11-08 06:12:00,"C",5,1,13,6,12,2021-11-08
2021-11-08 07:12:00,"C",4.5,1,13,7,12,2021-11-08
2021-11-08 08:12:00,"C",8.5,1,13,8,12,2021-11-08
2021-11-08 09:12:00,"C",18.5,1,13,9,12,2021-11-08
2021-11-08 10:12:00,"C",17,1,13,10,12,2021-11-08
2021-11-08 11:12:00,"C",20,1,13,11,12,2021-11-08
2021-11-08 12:12:00,"C",21,1,13,12,12,2021-11-08
2021-11-08 13:12:00,"C",24,1,13,13,12,2021-11-08
2021-11-08 14:12:00,"C",20.5,1,13,14,12,2021-11-08
2021-11-08 15:12:00,"C",18,1,13,15,12,2021-11-08
2021-11-08 16:12:00,"C",15.5,1,13,16,12,2021-11-08
2021-11-08 17:12:00,"C",14,1,13,17,12,2021-11-08
2021-11-08 18:12:00,"C",13.5,1,13,18,12,2021-11-08
2021-11-08 19:12:00,"C",12.5,1,13,19,12,2021-11-08
2021-11-08 20:12:00,"C",11.5,1,13,20,12,2021-11-08
2021-11-08 21:12:00,"C",11.5,1,13,21,12,2021-11-08
2021-11-08 22:12:00,"C",11.5,1,13,22,12,2021-11-08
2021-11-08 23:12:00,"C",11.5,1,13,23,12,2021-11-08
2021-11-09 00:12:00,"C",12,1,13,0,12,2021-11-09
2021-11-09 01:12:00,"C",12,1,13,1,12,2021-11-09
2021-11-09 02:12:00,"C",11.5,1,13,2,12,2021-11-09
2021-11-09 03:12:00,"C",11.5,1,13,3,12,2021-11-09
2021-11-09 04:12:00,"C",11.5,1,13,4,12,2021-11-09
2021-11-09 05:12:00,"C",11,1,13,5,12,2021-11-09
2021-11-09 06:12:00,"C",11,1,13,6,12,2021-11-09
2021-11-09 07:12:00,"C",11.5,1,13,7,12,2021-11-09
2021-11-09 08:12:00,"C",12.5,1,13,8,12,2021-11-09
2021-11-09 09:12:00,"C",12.5,1,13,9,12,2021-11-09
2021-11-09 10:12:00,"C",13,1,13,10,12,2021-11-09
2021-11-09 11:12:00,"C",14.5,1,13,11,12,2021-11-09
2021-11-09 12:12:00,"C",15.5,1,13,12,12,2021-11-09
2021-11-09 13:12:00,"C",17,1,13,13,12,2021-11-09
2021-11-09 14:12:00,"C",16.5,1,13,14,12,2021-11-09
2021-11-09 15:12:00,"C",17,1,13,15,12,2021-11-09
2021-11-09 16:12:00,"C",16,1,13,16,12,2021-11-09
2021-11-09 17:12:00,"C",15.5,1,13,17,12,2021-11-09
2021-11-09 18:12:00,"C",14,1,13,18,12,2021-11-09
2021-11-09 19:12:00,"C",14,1,13,19,12,2021-11-09
2021-11-09 20:12:00,"C",13,1,13,20,12,2021-11-09
2021-11-09 21:12:00,"C",12,1,13,21,12,2021-11-09
2021-11-09 22:12:00,"C",11,1,13,22,12,2021-11-09
2021-11-09 23:12:00,"C",10.5,1,13,23,12,2021-11-09
2021-11-10 00:12:00,"C",10,1,13,0,12,2021-11-10
2021-11-10 01:12:00,"C",10.5,1,13,1,12,2021-11-10
2021-11-10 02:12:00,"C",12,1,13,2,12,2021-11-10
2021-11-10 03:12:00,"C",12.5,1,13,3,12,2021-11-10
2021-11-10 04:12:00,"C",12.5,1,13,4,12,2021-11-10
2021-11-10 05:12:00,"C",12,1,13,5,12,2021-11-10
2021-11-10 06:12:00,"C",12,1,13,6,12,2021-11-10
2021-11-10 07:12:00,"C",12.5,1,13,7,12,2021-11-10
2021-11-10 08:12:00,"C",14,1,13,8,12,2021-11-10
2021-11-10 09:12:00,"C",16,1,13,9,12,2021-11-10
2021-11-10 10:12:00,"C",19,1,13,10,12,2021-11-10
2021-11-10 11:12:00,"C",22.5,1,13,11,12,2021-11-10
2021-11-10 12:12:00,"C",24,1,13,12,12,2021-11-10
2021-11-10 13:12:00,"C",23,1,13,13,12,2021-11-10
2021-11-10 14:12:00,"C",23,1,13,14,12,2021-11-10
2021-11-10 15:12:00,"C",22,1,13,15,12,2021-11-10
2021-11-10 16:12:00,"C",20,1,13,16,12,2021-11-10
2021-11-10 17:12:00,"C",16.5,1,13,17,12,2021-11-10
2021-11-10 18:12:00,"C",14.5,1,13,18,12,2021-11-10
2021-11-10 19:12:00,"C",13.5,1,13,19,12,2021-11-10
2021-11-10 20:12:00,"C",13,1,13,20,12,2021-11-10
2021-11-10 21:12:00,"C",12.5,1,13,21,12,2021-11-10
2021-11-10 22:12:00,"C",12,1,13,22,12,2021-11-10
2021-11-10 23:12:00,"C",11.5,1,13,23,12,2021-11-10
2021-11-11 00:12:00,"C",11.5,1,13,0,12,2021-11-11
2021-11-11 01:12:00,"C",11,1,13,1,12,2021-11-11
2021-11-11 02:12:00,"C",10.5,1,13,2,12,2021-11-11
2021-11-11 03:12:00,"C",10,1,13,3,12,2021-11-11
2021-11-11 04:12:00,"C",9.5,1,13,4,12,2021-11-11
2021-11-11 05:12:00,"C",9,1,13,5,12,2021-11-11
2021-11-11 06:12:00,"C",8.5,1,13,6,12,2021-11-11
2021-11-11 07:12:00,"C",8.5,1,13,7,12,2021-11-11
2021-11-11 08:12:00,"C",12,1,13,8,12,2021-11-11
2021-11-11 09:12:00,"C",21.5,1,13,9,12,2021-11-11
2021-11-11 10:12:00,"C",21.5,1,13,10,12,2021-11-11
2021-11-11 11:12:00,"C",23.5,1,13,11,12,2021-11-11
2021-11-11 12:12:00,"C",25,1,13,12,12,2021-11-11
2021-11-11 13:12:00,"C",27,1,13,13,12,2021-11-11
2021-11-11 14:12:00,"C",25.5,1,13,14,12,2021-11-11
2021-11-11 15:12:00,"C",25,1,13,15,12,2021-11-11
