"","folder","Cwd","PPT_CV","PPT","Tmin_SD","Tmax_SD","Tmin","Tmax"
"1","c_anceps",86.8993709994992,1.54232736135612,31.0049064671962,0.518806766950756,0.329830361653456,6.95460344124173,23.8587372450405
"2","c_coulteri",87.8147861868347,1.52856637535059,33.314425839323,0.731712570161075,0.615700346970476,8.10427841640584,22.5737215442846
"3","c_inflatus",104.579251184831,1.66799191125062,16.8517067214673,0.954625690848467,0.537292875139447,9.12485782125837,24.3504698521922
"4","s_breweri",64.302208984215,1.36224032901977,87.780916203862,0.727940575611744,0.672054123249294,7.26766570269388,20.8860135021033
"5","s_diversifolius",71.2147826681935,1.30267577631715,70.4323392078394,0.29351181770232,0.313418659737568,8.52459302849316,22.2781569174824
"6","s_drepanoides",61.365203061161,1.24468239660939,84.7432883562762,0.546225602292248,0.388609726924142,7.99109794061222,20.0110011677873
"7","s_glandulosus",67.6698381944477,1.42025339486306,74.7148720336698,0.887191494620028,1.35809402219933,8.08849297718302,21.2838619830504
"8","s_insignis",79.7141222811382,1.46484973892621,38.07239648954,0.556167711916963,0.322975410385703,7.14474049307177,22.7942128589324
"9","s_polygaloides",60.4021636033662,1.26610230731031,109.720763995849,0.337153557327039,0.279158428446813,7.78169613375631,21.3176676557805
"10","s_tortuosus",42.9758880209133,1.20810977667328,121.271859617311,0.688565600768993,0.937478446080707,3.29532104278724,15.9949897077606
