"","Species","seed.source","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN","Field",0.020595219255099,0.0233938686490718,607,-0.0253475279118508,0.0665379664220488
"3","CAIN","Field",-0.0132789949220458,0.0193129388801201,607,-0.0512072863615772,0.0246492965174855
"5","STDI","Field",-0.134055363023243,0.0116667316743779,607,-0.156967422230768,-0.111143303815719
"7","STGL","Field",-0.0213058322306497,0.0167087042082135,607,-0.0541197196829826,0.0115080552216832
"8","STIN","Field",-0.0293537352719201,0.007280767667765,607,-0.0436522881602515,-0.0150551823835888
"9","STPO","Field",-0.0357610507895052,0.015501352641149,607,-0.0662038448318789,-0.00531825674713143
"10","STTO","Field",0.0907314287569928,0.034133724253639,607,0.0236968956160392,0.157765961897946
"12","CACO","SH",0.00145899681527728,0.0124462667127721,607,-0.022983975543636,0.0259019691741906
"14","STBR","SH",-0.0349648538267694,0.0141561288279131,607,-0.0627657899335635,-0.00716391771997527
"16","STDR","SH",-0.0120890638585776,0.0120638296763603,607,-0.0357809758292024,0.0116028481120472
