"","Species","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"1","CAAN",0.0066619694712175,0.0149700913905254,621,-0.0227361672092967,0.0360601061517317
"2","CACO",0.00160518805407854,0.0122680213114254,621,-0.0224866466518208,0.0256970227599779
"3","CAIN",-0.0140054115714173,0.019036589434716,621,-0.051389302125807,0.0233784789829723
"4","STBR",-0.0349288438969188,0.013954223838259,621,-0.0623320286181063,-0.00752565917573121
"5","STDI",-0.134806386027551,0.0114976144647097,621,-0.157385302395911,-0.11222746965919
"6","STDR",-0.0113540062356002,0.0118913470012532,621,-0.0347061311718257,0.0119981187006254
"7","STGL",-0.0199815889797221,0.0164673004580068,621,-0.0523199319460164,0.0123567539865721
"8","STIN",-0.0290945375174098,0.00717694852512622,621,-0.0431885672856055,-0.0150005077492141
"9","STPO",-0.0353965814611983,0.0152802786051023,621,-0.0654038611250648,-0.00538930179733189
"10","STTO",0.0912953224097944,0.0336452338425316,621,0.0252231016498989,0.15736754316969
