"","Species","seed.source","transplant.daySept1.trend","SE","df","lower.CL","upper.CL"
"3","CAIN","Field",0.0215133063506512,0.0171503611034596,633,-0.012165178504741,0.0551917912060434
"5","STDI","Field",-0.135857689956811,0.0115038353717679,633,-0.158447986628108,-0.113267393285515
"7","STGL","Field",-0.0182890570018017,0.0164775555177478,633,-0.0506463409453106,0.0140682269417071
"8","STIN","Field",-0.0289241850217813,0.00719097014475412,633,-0.0430452275849508,-0.0148031424586119
"9","STPO","Field",-0.0356259105950291,0.0153126718682089,633,-0.0656956907295729,-0.00555613046048529
"10","STTO","Field",0.0904496117929988,0.0337158999886205,633,0.0242410684099902,0.156658155176007
"11","CAAN","SH",0.00729955941062861,0.0149996603305445,633,-0.0221555541132706,0.0367546729345279
"12","CACO","SH",0.00195755925438154,0.0122916649261317,633,-0.0221798130472883,0.0260949315560514
"14","STBR","SH",-0.035029229614646,0.013983778844559,633,-0.0624894376648795,-0.00756902156441244
"16","STDR","SH",-0.0107713810039892,0.0119070283327359,633,-0.0341534352334991,0.0126106732255207
