1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: 310000004236F221,,
Is Mission Active?  true,,
Mission Start:  Fri Feb 11 10:27:00 PST 2022,,
Sample Rate:  Every 60 minute(s),,
Number of Mission Samples:  2113,,
Total Samples:  12656,,
Roll Over Enabled?  false,,
Roll Over Occurred?  Roll over has occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 �C,,
Low Temperature Alarm:  -40 �C,,
,,
Date/Time,Unit,Value
2/18/22 9:27,C,14
2/18/22 10:27,C,18.5
2/18/22 11:27,C,23.5
2/18/22 12:27,C,26
2/18/22 13:27,C,26.5
2/18/22 14:27,C,27
2/18/22 15:27,C,25.5
2/18/22 16:27,C,23
2/18/22 17:27,C,19
2/18/22 18:27,C,15.5
2/18/22 19:27,C,13
2/18/22 20:27,C,11
2/18/22 21:27,C,9.5
2/18/22 22:27,C,8.5
2/18/22 23:27,C,7.5
2/19/22 0:27,C,6.5
2/19/22 1:27,C,6.5
2/19/22 2:27,C,5.5
2/19/22 3:27,C,5
2/19/22 4:27,C,4.5
2/19/22 5:27,C,4.5
2/19/22 6:27,C,4
2/19/22 7:27,C,4
2/19/22 8:27,C,6
2/19/22 9:27,C,13.5
2/19/22 10:27,C,19
2/19/22 11:27,C,24
2/19/22 12:27,C,27
2/19/22 13:27,C,27.5
2/19/22 14:27,C,28.5
2/19/22 15:27,C,27
2/19/22 16:27,C,24.5
2/19/22 17:27,C,21.5
2/19/22 18:27,C,18
2/19/22 19:27,C,15
2/19/22 20:27,C,13
2/19/22 21:27,C,12
2/19/22 22:27,C,10.5
2/19/22 23:27,C,9
2/20/22 0:27,C,8
2/20/22 1:27,C,7
2/20/22 2:27,C,6.5
2/20/22 3:27,C,6
2/20/22 4:27,C,5.5
2/20/22 5:27,C,5.5
2/20/22 6:27,C,5.5
2/20/22 7:27,C,5.5
2/20/22 8:27,C,9
2/20/22 9:27,C,13.5
2/20/22 10:27,C,16.5
2/20/22 11:27,C,20.5
2/20/22 12:27,C,23
2/20/22 13:27,C,26
2/20/22 14:27,C,25.5
2/20/22 15:27,C,23.5
2/20/22 16:27,C,20
2/20/22 17:27,C,17
2/20/22 18:27,C,14
2/20/22 19:27,C,11.5
2/20/22 20:27,C,10.5
2/20/22 21:27,C,9.5
2/20/22 22:27,C,8.5
2/20/22 23:27,C,8
2/21/22 0:27,C,8
2/21/22 1:27,C,7.5
2/21/22 2:27,C,7
2/21/22 3:27,C,6.5
2/21/22 4:27,C,5.5
2/21/22 5:27,C,5.5
2/21/22 6:27,C,5.5
2/21/22 7:27,C,5.5
2/21/22 8:27,C,7
2/21/22 9:27,C,14
2/21/22 10:27,C,16
2/21/22 11:27,C,19.5
2/21/22 12:27,C,23
2/21/22 13:27,C,22.5
2/21/22 14:27,C,23.5
2/21/22 15:27,C,21.5
2/21/22 16:27,C,17.5
2/21/22 17:27,C,15.5
2/21/22 18:27,C,12.5
2/21/22 19:27,C,11
2/21/22 20:27,C,9.5
2/21/22 21:27,C,8.5
2/21/22 22:27,C,8
2/21/22 23:27,C,7.5
2/22/22 0:27,C,6.5
2/22/22 1:27,C,5.5
2/22/22 2:27,C,5
2/22/22 3:27,C,4
2/22/22 4:27,C,3
2/22/22 5:27,C,2
2/22/22 6:27,C,2
2/22/22 7:27,C,2
2/22/22 8:27,C,3.5
2/22/22 9:27,C,11.5
2/22/22 10:27,C,15
2/22/22 11:27,C,19.5
2/22/22 12:27,C,20.5
2/22/22 13:27,C,22
2/22/22 14:27,C,20.5
2/22/22 15:27,C,16
2/22/22 16:27,C,14
2/22/22 17:27,C,10.5
2/22/22 18:27,C,8.5
2/22/22 19:27,C,7
2/22/22 20:27,C,6.5
2/22/22 21:27,C,5
2/22/22 22:27,C,4
2/22/22 23:27,C,3.5
2/23/22 0:27,C,3
2/23/22 1:27,C,2.5
2/23/22 2:27,C,2
2/23/22 3:27,C,2
2/23/22 4:27,C,2
2/23/22 5:27,C,2
2/23/22 6:27,C,2.5
2/23/22 7:27,C,2.5
2/23/22 8:27,C,3.5
2/23/22 9:27,C,9.5
2/23/22 10:27,C,12
2/23/22 11:27,C,16.5
2/23/22 12:27,C,19
2/23/22 13:27,C,18
2/23/22 14:27,C,18.5
2/23/22 15:27,C,17
2/23/22 16:27,C,16
2/23/22 17:27,C,13
2/23/22 18:27,C,9.5
2/23/22 19:27,C,7.5
2/23/22 20:27,C,6
2/23/22 21:27,C,5
2/23/22 22:27,C,3.5
2/23/22 23:27,C,2.5
2/24/22 0:27,C,1.5
2/24/22 1:27,C,1
2/24/22 2:27,C,1
2/24/22 3:27,C,0.5
2/24/22 4:27,C,0
2/24/22 5:27,C,-0.5
2/24/22 6:27,C,-1.5
2/24/22 7:27,C,-1.5
2/24/22 8:27,C,1
2/24/22 9:27,C,10
2/24/22 10:27,C,14
2/24/22 11:27,C,20
2/24/22 12:27,C,23.5
2/24/22 13:27,C,23
2/24/22 14:27,C,23
2/24/22 15:27,C,21
2/24/22 16:27,C,18.5
2/24/22 17:27,C,15.5
2/24/22 18:27,C,11.5
2/24/22 19:27,C,9
2/24/22 20:27,C,7
2/24/22 21:27,C,5.5
2/24/22 22:27,C,5
2/24/22 23:27,C,3.5
2/25/22 0:27,C,3.5
2/25/22 1:27,C,3
2/25/22 2:27,C,3
2/25/22 3:27,C,2
2/25/22 4:27,C,1.5
2/25/22 5:27,C,2
2/25/22 6:27,C,1.5
2/25/22 7:27,C,1.5
2/25/22 8:27,C,3
2/25/22 9:27,C,11
2/25/22 10:27,C,15
2/25/22 11:27,C,19.5
2/25/22 12:27,C,23
2/25/22 13:27,C,22
2/25/22 14:27,C,22.5
2/25/22 15:27,C,21.5
2/25/22 16:27,C,20
2/25/22 17:27,C,17
2/25/22 18:27,C,13
2/25/22 19:27,C,9.5
2/25/22 20:27,C,8
2/25/22 21:27,C,6.5
2/25/22 22:27,C,5.5
2/25/22 23:27,C,5
2/26/22 0:27,C,4
2/26/22 1:27,C,3.5
2/26/22 2:27,C,3
2/26/22 3:27,C,2.5
2/26/22 4:27,C,2
2/26/22 5:27,C,1.5
2/26/22 6:27,C,1
2/26/22 7:27,C,1
2/26/22 8:27,C,4.5
2/26/22 9:27,C,11
2/26/22 10:27,C,14.5
2/26/22 11:27,C,18
2/26/22 12:27,C,18.5
2/26/22 13:27,C,19
2/26/22 14:27,C,20
2/26/22 15:27,C,20.5
2/26/22 16:27,C,17
2/26/22 17:27,C,15
2/26/22 18:27,C,13
2/26/22 19:27,C,11.5
2/26/22 20:27,C,10.5
2/26/22 21:27,C,10.5
2/26/22 22:27,C,10
2/26/22 23:27,C,9.5
2/27/22 0:27,C,8
2/27/22 1:27,C,7
2/27/22 2:27,C,7
2/27/22 3:27,C,6.5
2/27/22 4:27,C,6
2/27/22 5:27,C,5.5
2/27/22 6:27,C,4.5
2/27/22 7:27,C,5
2/27/22 8:27,C,7.5
2/27/22 9:27,C,16
2/27/22 10:27,C,19.5
2/27/22 11:27,C,24
2/27/22 12:27,C,27
2/27/22 13:27,C,27
2/27/22 14:27,C,28
2/27/22 15:27,C,26.5
2/27/22 16:27,C,24.5
2/27/22 17:27,C,21.5
2/27/22 18:27,C,17.5
2/27/22 19:27,C,15
2/27/22 20:27,C,13
2/27/22 21:27,C,11
2/27/22 22:27,C,10
2/27/22 23:27,C,9
2/28/22 0:27,C,8.5
2/28/22 1:27,C,8
2/28/22 2:27,C,7
2/28/22 3:27,C,6.5
2/28/22 4:27,C,6.5
2/28/22 5:27,C,5.5
2/28/22 6:27,C,5
2/28/22 7:27,C,5
2/28/22 8:27,C,7.5
2/28/22 9:27,C,16.5
2/28/22 10:27,C,20
2/28/22 11:27,C,25
2/28/22 12:27,C,30
2/28/22 13:27,C,28.5
2/28/22 14:27,C,30
2/28/22 15:27,C,29
2/28/22 16:27,C,26.5
2/28/22 17:27,C,24
2/28/22 18:27,C,20
2/28/22 19:27,C,17
2/28/22 20:27,C,14.5
2/28/22 21:27,C,13
2/28/22 22:27,C,11.5
2/28/22 23:27,C,10.5
3/1/22 0:27,C,9.5
3/1/22 1:27,C,9
3/1/22 2:27,C,8
3/1/22 3:27,C,8
3/1/22 4:27,C,8
3/1/22 5:27,C,8
3/1/22 6:27,C,7.5
3/1/22 7:27,C,8
3/1/22 8:27,C,9.5
3/1/22 9:27,C,17.5
3/1/22 10:27,C,22.5
3/1/22 11:27,C,27.5
3/1/22 12:27,C,31
3/1/22 13:27,C,30.5
3/1/22 14:27,C,31
3/1/22 15:27,C,29
3/1/22 16:27,C,27
3/1/22 17:27,C,23.5
3/1/22 18:27,C,20
3/1/22 19:27,C,17
3/1/22 20:27,C,15
3/1/22 21:27,C,13
3/1/22 22:27,C,12
3/1/22 23:27,C,11
3/2/22 0:27,C,10
3/2/22 1:27,C,9.5
3/2/22 2:27,C,9.5
3/2/22 3:27,C,9
3/2/22 4:27,C,8.5
3/2/22 5:27,C,8.5
3/2/22 6:27,C,8
3/2/22 7:27,C,8.5
3/2/22 8:27,C,11.5
3/2/22 9:27,C,17.5
3/2/22 10:27,C,22
3/2/22 11:27,C,26.5
3/2/22 12:27,C,28
3/2/22 13:27,C,29.5
3/2/22 14:27,C,30.5
3/2/22 15:27,C,28
3/2/22 16:27,C,26
3/2/22 17:27,C,22.5
3/2/22 18:27,C,19
3/2/22 19:27,C,16.5
3/2/22 20:27,C,14.5
3/2/22 21:27,C,12.5
3/2/22 22:27,C,11.5
3/2/22 23:27,C,10.5
3/3/22 0:27,C,10.5
3/3/22 1:27,C,10
3/3/22 2:27,C,9.5
3/3/22 3:27,C,9.5
3/3/22 4:27,C,9.5
3/3/22 5:27,C,9.5
3/3/22 6:27,C,9.5
3/3/22 7:27,C,10.5
3/3/22 8:27,C,12
3/3/22 9:27,C,12.5
3/3/22 10:27,C,15.5
3/3/22 11:27,C,17
3/3/22 12:27,C,19
3/3/22 13:27,C,19.5
3/3/22 14:27,C,17.5
3/3/22 15:27,C,17
3/3/22 16:27,C,16
3/3/22 17:27,C,14.5
3/3/22 18:27,C,13
3/3/22 19:27,C,12
3/3/22 20:27,C,11.5
3/3/22 21:27,C,11
3/3/22 22:27,C,10.5
3/3/22 23:27,C,10
3/4/22 0:27,C,10
3/4/22 1:27,C,10.5
3/4/22 2:27,C,11
3/4/22 3:27,C,11
3/4/22 4:27,C,10.5
3/4/22 5:27,C,11
3/4/22 6:27,C,11
3/4/22 7:27,C,11.5
3/4/22 8:27,C,13
3/4/22 9:27,C,21.5
3/4/22 10:27,C,22.5
3/4/22 11:27,C,24
3/4/22 12:27,C,28
3/4/22 13:27,C,25.5
3/4/22 14:27,C,27
3/4/22 15:27,C,24
3/4/22 16:27,C,20
3/4/22 17:27,C,15.5
3/4/22 18:27,C,11.5
3/4/22 19:27,C,10
3/4/22 20:27,C,8.5
3/4/22 21:27,C,8
3/4/22 22:27,C,8.5
3/4/22 23:27,C,8
3/5/22 0:27,C,7.5
3/5/22 1:27,C,7
3/5/22 2:27,C,6
3/5/22 3:27,C,5
3/5/22 4:27,C,4
3/5/22 5:27,C,3.5
3/5/22 6:27,C,3
3/5/22 7:27,C,3.5
3/5/22 8:27,C,7
3/5/22 9:27,C,9
3/5/22 10:27,C,10.5
3/5/22 11:27,C,14
3/5/22 12:27,C,17
3/5/22 13:27,C,18
3/5/22 14:27,C,20.5
3/5/22 15:27,C,18
3/5/22 16:27,C,17
3/5/22 17:27,C,14.5
3/5/22 18:27,C,11.5
3/5/22 19:27,C,9
3/5/22 20:27,C,7.5
3/5/22 21:27,C,6.5
3/5/22 22:27,C,5.5
3/5/22 23:27,C,4.5
3/6/22 0:27,C,3.5
3/6/22 1:27,C,3.5
3/6/22 2:27,C,3
3/6/22 3:27,C,3
3/6/22 4:27,C,3
3/6/22 5:27,C,2.5
3/6/22 6:27,C,2
3/6/22 7:27,C,2.5
3/6/22 8:27,C,5.5
3/6/22 9:27,C,13
3/6/22 10:27,C,16.5
3/6/22 11:27,C,21.5
3/6/22 12:27,C,25
3/6/22 13:27,C,24
3/6/22 14:27,C,25
3/6/22 15:27,C,23
3/6/22 16:27,C,21
3/6/22 17:27,C,18
3/6/22 18:27,C,14.5
3/6/22 19:27,C,12
3/6/22 20:27,C,10
3/6/22 21:27,C,8.5
3/6/22 22:27,C,7
3/6/22 23:27,C,6.5
3/7/22 0:27,C,6.5
3/7/22 1:27,C,5.5
3/7/22 2:27,C,4.5
3/7/22 3:27,C,4.5
3/7/22 4:27,C,5.5
3/7/22 5:27,C,6
3/7/22 6:27,C,6
3/7/22 7:27,C,7
3/7/22 8:27,C,9.5
3/7/22 9:27,C,16.5
3/7/22 10:27,C,18.5
3/7/22 11:27,C,23
3/7/22 12:27,C,21.5
3/7/22 13:27,C,23.5
3/7/22 14:27,C,24
3/7/22 15:27,C,23
3/7/22 16:27,C,22
3/7/22 17:27,C,20
